Year,Indicator Name,Indicator Code,Value
1996,Arable land (% of land area),AG.LND.ARBL.ZS,14.14
1995,Arable land (% of land area),AG.LND.ARBL.ZS,14.13
1994,Arable land (% of land area),AG.LND.ARBL.ZS,14.08
1993,Arable land (% of land area),AG.LND.ARBL.ZS,14.03
1992,Arable land (% of land area),AG.LND.ARBL.ZS,14.43
1991,Arable land (% of land area),AG.LND.ARBL.ZS,14.4
1990,Arable land (% of land area),AG.LND.ARBL.ZS,14.35
1989,Arable land (% of land area),AG.LND.ARBL.ZS,14.37
1988,Arable land (% of land area),AG.LND.ARBL.ZS,14.32
1987,Arable land (% of land area),AG.LND.ARBL.ZS,14.27
1986,Arable land (% of land area),AG.LND.ARBL.ZS,14.14
1985,Arable land (% of land area),AG.LND.ARBL.ZS,13.97
1984,Arable land (% of land area),AG.LND.ARBL.ZS,13.91
1983,Arable land (% of land area),AG.LND.ARBL.ZS,13.86
1982,Arable land (% of land area),AG.LND.ARBL.ZS,13.67
1981,Arable land (% of land area),AG.LND.ARBL.ZS,14.35
1980,Arable land (% of land area),AG.LND.ARBL.ZS,14.35
1979,Arable land (% of land area),AG.LND.ARBL.ZS,14.35
1978,Arable land (% of land area),AG.LND.ARBL.ZS,15.95
1977,Arable land (% of land area),AG.LND.ARBL.ZS,15.15
1976,Arable land (% of land area),AG.LND.ARBL.ZS,14.35
1975,Arable land (% of land area),AG.LND.ARBL.ZS,13.55
1974,Arable land (% of land area),AG.LND.ARBL.ZS,13.3
1973,Arable land (% of land area),AG.LND.ARBL.ZS,13.2
1972,Arable land (% of land area),AG.LND.ARBL.ZS,13.11
1971,Arable land (% of land area),AG.LND.ARBL.ZS,13.01
1970,Arable land (% of land area),AG.LND.ARBL.ZS,12.92
1969,Arable land (% of land area),AG.LND.ARBL.ZS,12.82
1968,Arable land (% of land area),AG.LND.ARBL.ZS,12.73
1967,Arable land (% of land area),AG.LND.ARBL.ZS,12.63
1966,Arable land (% of land area),AG.LND.ARBL.ZS,12.63
1965,Arable land (% of land area),AG.LND.ARBL.ZS,12.65
1964,Arable land (% of land area),AG.LND.ARBL.ZS,12.6
1963,Arable land (% of land area),AG.LND.ARBL.ZS,12.63
1962,Arable land (% of land area),AG.LND.ARBL.ZS,9.2
1961,Arable land (% of land area),AG.LND.ARBL.ZS,9.49
2015,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,1983.34
2000,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,1991.59
1990,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,2012.4
2015,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,3.05
2000,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,3.06
1990,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,3.1
2015,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,276.93
2000,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,268.67
1990,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,247.86
2015,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.43
2000,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.41
1990,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.38
2015,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,3.48
2000,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,3.48
1990,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,3.48
2022,Forest area (sq. km),AG.LND.FRST.K2,21067.0
2021,Forest area (sq. km),AG.LND.FRST.K2,21098.6
2020,Forest area (sq. km),AG.LND.FRST.K2,21130.2
2019,Forest area (sq. km),AG.LND.FRST.K2,21161.8
2018,Forest area (sq. km),AG.LND.FRST.K2,21193.4
2017,Forest area (sq. km),AG.LND.FRST.K2,21225.0
2016,Forest area (sq. km),AG.LND.FRST.K2,21256.6
2015,Forest area (sq. km),AG.LND.FRST.K2,21288.2
2014,Forest area (sq. km),AG.LND.FRST.K2,21237.8
2013,Forest area (sq. km),AG.LND.FRST.K2,21187.4
2012,Forest area (sq. km),AG.LND.FRST.K2,21137.0
2011,Forest area (sq. km),AG.LND.FRST.K2,21086.6
2010,Forest area (sq. km),AG.LND.FRST.K2,21036.2
2009,Forest area (sq. km),AG.LND.FRST.K2,21099.0
2008,Forest area (sq. km),AG.LND.FRST.K2,21161.8
2007,Forest area (sq. km),AG.LND.FRST.K2,21224.6
2006,Forest area (sq. km),AG.LND.FRST.K2,21287.4
2005,Forest area (sq. km),AG.LND.FRST.K2,21350.2
2004,Forest area (sq. km),AG.LND.FRST.K2,21413.0
2003,Forest area (sq. km),AG.LND.FRST.K2,21475.8
2002,Forest area (sq. km),AG.LND.FRST.K2,21538.6
2001,Forest area (sq. km),AG.LND.FRST.K2,21601.4
2000,Forest area (sq. km),AG.LND.FRST.K2,21664.2
1999,Forest area (sq. km),AG.LND.FRST.K2,21848.11
1998,Forest area (sq. km),AG.LND.FRST.K2,22032.02
1997,Forest area (sq. km),AG.LND.FRST.K2,22215.93
1996,Forest area (sq. km),AG.LND.FRST.K2,22399.84
1995,Forest area (sq. km),AG.LND.FRST.K2,22583.75
1994,Forest area (sq. km),AG.LND.FRST.K2,22767.66
1993,Forest area (sq. km),AG.LND.FRST.K2,22951.57
1992,Forest area (sq. km),AG.LND.FRST.K2,23135.48
1991,Forest area (sq. km),AG.LND.FRST.K2,23319.39
1990,Forest area (sq. km),AG.LND.FRST.K2,23503.3
2022,Forest area (% of land area),AG.LND.FRST.ZS,34.06
2021,Forest area (% of land area),AG.LND.FRST.ZS,34.11
2020,Forest area (% of land area),AG.LND.FRST.ZS,34.16
2019,Forest area (% of land area),AG.LND.FRST.ZS,34.21
2018,Forest area (% of land area),AG.LND.FRST.ZS,34.26
2017,Forest area (% of land area),AG.LND.FRST.ZS,34.29
2016,Forest area (% of land area),AG.LND.FRST.ZS,34.34
2015,Forest area (% of land area),AG.LND.FRST.ZS,34.4
2014,Forest area (% of land area),AG.LND.FRST.ZS,33.87
2013,Forest area (% of land area),AG.LND.FRST.ZS,33.79
2012,Forest area (% of land area),AG.LND.FRST.ZS,33.71
2011,Forest area (% of land area),AG.LND.FRST.ZS,33.63
2010,Forest area (% of land area),AG.LND.FRST.ZS,33.55
2009,Forest area (% of land area),AG.LND.FRST.ZS,33.65
2008,Forest area (% of land area),AG.LND.FRST.ZS,33.75
2007,Forest area (% of land area),AG.LND.FRST.ZS,33.85
2006,Forest area (% of land area),AG.LND.FRST.ZS,33.95
2005,Forest area (% of land area),AG.LND.FRST.ZS,34.05
2004,Forest area (% of land area),AG.LND.FRST.ZS,34.15
2003,Forest area (% of land area),AG.LND.FRST.ZS,34.25
2002,Forest area (% of land area),AG.LND.FRST.ZS,34.35
2001,Forest area (% of land area),AG.LND.FRST.ZS,34.45
2000,Forest area (% of land area),AG.LND.FRST.ZS,34.55
1999,Forest area (% of land area),AG.LND.FRST.ZS,34.84
1998,Forest area (% of land area),AG.LND.FRST.ZS,35.13
1997,Forest area (% of land area),AG.LND.FRST.ZS,35.43
1996,Forest area (% of land area),AG.LND.FRST.ZS,35.72
1995,Forest area (% of land area),AG.LND.FRST.ZS,36.01
1994,Forest area (% of land area),AG.LND.FRST.ZS,36.31
1993,Forest area (% of land area),AG.LND.FRST.ZS,36.6
1992,Forest area (% of land area),AG.LND.FRST.ZS,36.89
1991,Forest area (% of land area),AG.LND.FRST.ZS,37.19
1990,Forest area (% of land area),AG.LND.FRST.ZS,37.48
2021,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2020,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2019,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2018,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2017,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2016,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2015,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2014,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2013,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2012,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2011,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2010,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2009,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2008,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2007,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2006,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2005,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2004,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2003,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2002,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2001,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2000,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1999,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1998,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1997,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1996,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1995,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1994,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1993,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1992,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1991,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1990,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1989,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1988,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1987,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1986,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1985,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1984,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1983,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1982,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1981,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1980,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1979,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1978,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1977,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1976,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1975,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1974,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1973,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1972,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1971,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1970,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1969,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1968,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1967,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1966,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1965,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1964,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1963,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1962,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
1961,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1712.0
2022,Land area (sq. km),AG.LND.TOTL.K2,61860.0
2021,Land area (sq. km),AG.LND.TOTL.K2,61860.0
2020,Land area (sq. km),AG.LND.TOTL.K2,61860.0
2019,Land area (sq. km),AG.LND.TOTL.K2,61864.47
2018,Land area (sq. km),AG.LND.TOTL.K2,61864.0
2017,Land area (sq. km),AG.LND.TOTL.K2,61893.0
2016,Land area (sq. km),AG.LND.TOTL.K2,61893.0
2015,Land area (sq. km),AG.LND.TOTL.K2,61893.0
2014,Land area (sq. km),AG.LND.TOTL.K2,62710.0
2013,Land area (sq. km),AG.LND.TOTL.K2,62710.0
2012,Land area (sq. km),AG.LND.TOTL.K2,62710.0
2011,Land area (sq. km),AG.LND.TOTL.K2,62710.0
2010,Land area (sq. km),AG.LND.TOTL.K2,62710.0
2009,Land area (sq. km),AG.LND.TOTL.K2,62710.0
2008,Land area (sq. km),AG.LND.TOTL.K2,62710.0
2007,Land area (sq. km),AG.LND.TOTL.K2,62710.0
2006,Land area (sq. km),AG.LND.TOTL.K2,62710.0
2005,Land area (sq. km),AG.LND.TOTL.K2,62710.0
2004,Land area (sq. km),AG.LND.TOTL.K2,62710.0
2003,Land area (sq. km),AG.LND.TOTL.K2,62710.0
2002,Land area (sq. km),AG.LND.TOTL.K2,62710.0
2001,Land area (sq. km),AG.LND.TOTL.K2,62710.0
2000,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1999,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1998,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1997,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1996,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1995,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1994,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1993,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1992,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1991,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1990,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1989,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1988,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1987,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1986,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1985,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1984,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1983,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1982,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1981,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1980,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1979,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1978,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1977,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1976,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1975,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1974,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1973,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1972,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1971,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1970,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1969,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1968,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1967,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1966,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1965,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1964,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1963,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1962,Land area (sq. km),AG.LND.TOTL.K2,62710.0
1961,Land area (sq. km),AG.LND.TOTL.K2,62710.0
2015,Rural land area (sq. km),AG.LND.TOTL.RU.K2,61386.13
2000,Rural land area (sq. km),AG.LND.TOTL.RU.K2,61978.83
1990,Rural land area (sq. km),AG.LND.TOTL.RU.K2,62496.38
2015,Urban land area (sq. km),AG.LND.TOTL.UR.K2,3627.83
2000,Urban land area (sq. km),AG.LND.TOTL.UR.K2,3035.14
1990,Urban land area (sq. km),AG.LND.TOTL.UR.K2,2517.58
2022,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
2021,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
2020,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
2019,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
2018,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
2017,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
2016,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
2015,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
2014,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
2013,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
2012,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
2011,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
2010,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
2009,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
2008,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
2007,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
2006,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
2005,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
2004,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
2003,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
2002,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
2001,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
2000,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1999,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1998,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1997,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1996,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1995,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1994,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1993,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1992,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1991,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1990,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1989,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1988,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1987,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1986,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1985,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1984,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1983,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1982,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1981,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1980,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1979,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1978,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1977,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1976,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1975,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1974,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1973,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1972,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1971,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1970,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1969,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1968,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1967,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1966,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1965,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1964,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1963,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1962,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
1961,Surface area (sq. km),AG.SRF.TOTL.K2,65610.0
2022,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,26.5
2021,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,25.3
2020,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,23.9
2019,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,22.6
2018,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,20.9
2017,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,20.1
2016,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,18.8
2015,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,17.9
2014,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,16.9
2013,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,16.5
2012,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,15.7
2011,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,15.3
